workclass,race,hours-per-week,native-country,label,age-range,educationDegree
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,41-60,France,<=50K,45-60,Assoc
Private,White,21-40,United-States,<=50K,15-30,Bach
Local-gov,Black,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
?,Black,21-40,United-States,<=50K,45-60,Elementary
?,White,21-40,United-States,<=50K,45-60,Assoc
Private,Amer-Indian-Eskimo,0-20,United-States,<=50K,15-30,Assoc
?,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,0-20,United-States,<=50K,60-75,Assoc
Private,Other,41-60,Puerto-Rico,<=50K,30-45,MiddleSchool
Private,White,41-60,United-States,>50K,30-45,Assoc
Private,Black,21-40,United-States,<=50K,45-60,Preschool
Self-emp-inc,White,41-60,United-States,<=50K,30-45,Bach
?,Black,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,41-60,United-States,<=50K,30-45,HS-College
Private,White,0-20,United-States,<=50K,45-60,MiddleSchool
Self-emp-not-inc,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,60-75,MiddleSchool
Private,Black,21-40,United-States,<=50K,30-45,HS-College
Federal-gov,Black,21-40,United-States,>50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,60-75,MiddleSchool
Private,White,0-20,?,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,Black,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,Mexico,<=50K,45-60,Elementary
Private,White,61-80,United-States,<=50K,15-30,PostMaster
Self-emp-not-inc,White,21-40,United-States,<=50K,30-45,Assoc
Local-gov,White,21-40,United-States,<=50K,45-60,Bach
Private,White,21-40,United-States,<=50K,15-30,Assoc
?,Asian-Pac-Islander,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,15-30,Bach
?,Amer-Indian-Eskimo,21-40,United-States,<=50K,15-30,Assoc
Private,White,41-60,United-States,<=50K,45-60,Bach
Private,White,21-40,United-States,<=50K,60-75,Elementary
Private,Black,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,15-30,MiddleSchool
Private,White,41-60,United-States,<=50K,45-60,Mast
Private,White,0-20,United-States,<=50K,15-30,Bach
Private,White,0-20,United-States,<=50K,15-30,Bach
Private,Black,0-20,United-States,<=50K,45-60,MiddleSchool
Private,Black,21-40,United-States,<=50K,60-75,MiddleSchool
Self-emp-not-inc,Black,21-40,United-States,<=50K,45-60,Assoc
Local-gov,Black,21-40,United-States,<=50K,45-60,MiddleSchool
Private,Black,21-40,United-States,>50K,30-45,Bach
Private,White,0-20,United-States,<=50K,15-30,HS-College
Local-gov,White,21-40,United-States,<=50K,30-45,HS-College
State-gov,White,41-60,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,15-30,HS-College
State-gov,Asian-Pac-Islander,21-40,Philippines,<=50K,15-30,Assoc
?,White,0-20,United-States,<=50K,60-75,MiddleSchool
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,>50K,30-45,Assoc
?,Asian-Pac-Islander,21-40,South,<=50K,15-30,MiddleSchool
?,White,0-20,United-States,<=50K,15-30,MiddleSchool
Private,White,21-40,United-States,<=50K,15-30,HS-College
State-gov,White,0-20,United-States,<=50K,15-30,MiddleSchool
Private,White,21-40,United-States,<=50K,30-45,HS-College
Local-gov,White,41-60,United-States,<=50K,45-60,Bach
Private,Black,41-60,United-States,<=50K,15-30,Assoc
State-gov,White,0-20,United-States,<=50K,15-30,Bach
Private,White,21-40,Poland,<=50K,30-45,Bach
Private,White,0-20,United-States,<=50K,15-30,HS-College
Private,White,21-40,Cuba,<=50K,30-45,Bach
Private,White,61-80,United-States,>50K,45-60,PostMaster
Private,White,41-60,United-States,>50K,30-45,Bach
Private,Black,21-40,United-States,<=50K,30-45,Assoc
Local-gov,White,21-40,Honduras,<=50K,30-45,Bach
Private,Black,21-40,United-States,<=50K,30-45,HS-College
State-gov,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,0-20,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,0-20,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,Asian-Pac-Islander,21-40,United-States,<=50K,45-60,Assoc
Private,White,0-20,United-States,<=50K,15-30,Assoc
?,Black,21-40,United-States,<=50K,45-60,Assoc
Private,Black,21-40,United-States,<=50K,30-45,Assoc
Private,Black,0-20,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,41-60,United-States,>50K,30-45,Mast
Local-gov,White,21-40,United-States,>50K,30-45,Bach
Private,Black,21-40,United-States,<=50K,30-45,Assoc
Local-gov,White,41-60,United-States,<=50K,30-45,Bach
Federal-gov,White,21-40,United-States,>50K,45-60,HS-College
Private,White,0-20,United-States,<=50K,30-45,HS-College
Local-gov,White,21-40,United-States,>50K,45-60,HS-College
Private,White,41-60,United-States,<=50K,30-45,MiddleSchool
Private,White,21-40,Germany,<=50K,15-30,Assoc
Self-emp-not-inc,White,41-60,United-States,<=50K,45-60,Bach
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,>50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,41-60,United-States,<=50K,15-30,Assoc
Private,Other,41-60,United-States,>50K,30-45,Bach
Private,Black,21-40,United-States,<=50K,30-45,Assoc
?,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,0-20,United-States,<=50K,15-30,MiddleSchool
Private,White,21-40,United-States,<=50K,30-45,HS-College
Self-emp-not-inc,White,61-80,Italy,<=50K,45-60,HS-College
Private,White,41-60,United-States,<=50K,30-45,Assoc
Private,White,41-60,United-States,<=50K,30-45,Mast
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,60-75,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,>50K,45-60,Assoc
?,White,21-40,United-States,<=50K,60-75,MiddleSchool
Private,White,41-60,United-States,>50K,30-45,Bach
Local-gov,White,41-60,United-States,<=50K,60-75,Bach
Local-gov,White,41-60,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,>50K,60-75,Mast
Private,White,41-60,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,15-30,Bach
Local-gov,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,Bach
Private,White,41-60,United-States,>50K,45-60,Bach
Private,White,0-20,United-States,<=50K,15-30,MiddleSchool
Private,White,0-20,United-States,<=50K,15-30,Assoc
Private,Black,0-20,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,45-60,MiddleSchool
Private,White,41-60,United-States,<=50K,30-45,Assoc
Private,White,41-60,United-States,<=50K,15-30,Assoc
?,Black,21-40,United-States,<=50K,45-60,Assoc
Private,Asian-Pac-Islander,21-40,India,<=50K,15-30,Assoc
Private,White,41-60,United-States,<=50K,15-30,Bach
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,Asian-Pac-Islander,41-60,South,<=50K,30-45,Mast
Private,White,21-40,Mexico,<=50K,30-45,Elementary
Private,Black,21-40,United-States,<=50K,30-45,Assoc
Private,White,41-60,United-States,<=50K,15-30,Assoc
Private,White,21-40,Guatemala,<=50K,30-45,Preschool
?,White,0-20,United-States,<=50K,15-30,Assoc
Private,White,21-40,Mexico,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,45-60,Mast
Private,Amer-Indian-Eskimo,21-40,United-States,<=50K,30-45,Assoc
Private,White,41-60,United-States,<=50K,15-30,HS-College
Local-gov,Black,21-40,United-States,<=50K,45-60,Assoc
Private,White,21-40,United-States,<=50K,30-45,Assoc
Self-emp-inc,White,41-60,United-States,>50K,30-45,Bach
State-gov,White,21-40,United-States,>50K,30-45,HS-College
Private,Black,21-40,United-States,<=50K,45-60,Elementary
Private,White,0-20,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,MiddleSchool
Private,White,0-20,United-States,<=50K,15-30,HS-College
?,White,0-20,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,15-30,Bach
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,Black,21-40,United-States,<=50K,75-100,HS-College
Private,White,41-60,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,15-30,Assoc
?,Black,21-40,United-States,<=50K,15-30,HS-College
Private,White,0-20,United-States,<=50K,60-75,Assoc
Private,Black,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,45-60,Assoc
State-gov,White,21-40,United-States,>50K,30-45,HS-College
Local-gov,White,41-60,United-States,<=50K,15-30,Bach
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,>50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,Black,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,45-60,MiddleSchool
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,Black,21-40,United-States,<=50K,30-45,HS-College
Private,Black,21-40,United-States,<=50K,30-45,HS-College
?,White,0-20,United-States,<=50K,30-45,MiddleSchool
Private,White,21-40,United-States,<=50K,75-100,HS-College
Private,Black,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,15-30,Assoc
?,White,0-20,United-States,<=50K,60-75,Assoc
Private,White,41-60,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,41-60,United-States,<=50K,30-45,Assoc
Local-gov,White,0-20,United-States,<=50K,15-30,Bach
State-gov,White,41-60,United-States,>50K,45-60,PostMaster
Private,Black,21-40,United-States,<=50K,15-30,Bach
State-gov,White,21-40,United-States,>50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,30-45,Bach
Local-gov,White,21-40,United-States,<=50K,15-30,HS-College
?,White,21-40,United-States,<=50K,15-30,HS-College
Self-emp-inc,White,21-40,United-States,>50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,30-45,Assoc
Self-emp-not-inc,White,21-40,United-States,>50K,30-45,Assoc
Local-gov,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,41-60,United-States,>50K,30-45,Bach
Private,White,21-40,United-States,<=50K,60-75,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Local-gov,White,21-40,United-States,>50K,45-60,Bach
Federal-gov,White,21-40,United-States,<=50K,45-60,HS-College
Private,Black,21-40,United-States,<=50K,45-60,Assoc
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,Black,21-40,United-States,<=50K,30-45,Assoc
?,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,Mexico,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,0-20,United-States,<=50K,15-30,Assoc
Federal-gov,White,21-40,Germany,<=50K,45-60,HS-College
Self-emp-inc,White,41-60,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,30-45,Assoc
State-gov,White,41-60,United-States,>50K,15-30,Mast
Private,White,21-40,United-States,>50K,45-60,Bach
Private,Black,21-40,United-States,<=50K,30-45,HS-College
?,White,0-20,United-States,<=50K,15-30,Assoc
Private,White,41-60,United-States,<=50K,45-60,HS-College
Private,Black,21-40,United-States,<=50K,45-60,MiddleSchool
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,41-60,United-States,>50K,30-45,Bach
Federal-gov,Black,21-40,United-States,<=50K,45-60,Assoc
State-gov,White,61-80,United-States,<=50K,15-30,Bach
Private,White,21-40,United-States,<=50K,15-30,Assoc
Local-gov,Black,21-40,United-States,<=50K,45-60,Bach
Private,White,21-40,Dominican-Republic,<=50K,15-30,HS-College
Private,White,0-20,United-States,<=50K,30-45,Assoc
?,White,21-40,United-States,>50K,60-75,Bach
?,Asian-Pac-Islander,41-60,China,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,England,<=50K,45-60,HS-College
Federal-gov,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,15-30,Bach
Private,Black,41-60,United-States,<=50K,30-45,MiddleSchool
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,30-45,HS-College
Self-emp-not-inc,White,21-40,Cuba,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,45-60,HS-College
State-gov,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,0-20,United-States,<=50K,60-75,Assoc
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Federal-gov,White,41-60,United-States,<=50K,45-60,HS-College
Private,White,41-60,United-States,<=50K,30-45,Bach
?,White,0-20,United-States,<=50K,60-75,Assoc
Private,White,21-40,United-States,<=50K,60-75,HS-College
Private,White,41-60,United-States,<=50K,30-45,HS-College
Private,Black,41-60,United-States,<=50K,45-60,Bach
Private,White,61-80,United-States,<=50K,15-30,Assoc
Private,Black,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,15-30,Assoc
Federal-gov,Asian-Pac-Islander,21-40,Philippines,>50K,30-45,Assoc
Private,White,21-40,United-States,>50K,45-60,HS-College
Self-emp-not-inc,White,21-40,El-Salvador,<=50K,60-75,Preschool
Private,Black,21-40,Japan,<=50K,15-30,HS-College
Self-emp-inc,White,21-40,United-States,>50K,45-60,Assoc
Private,White,21-40,Mexico,<=50K,15-30,Elementary
Private,White,21-40,United-States,>50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,15-30,Bach
?,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,15-30,HS-College
Local-gov,White,21-40,United-States,<=50K,60-75,HS-College
Private,Asian-Pac-Islander,21-40,India,>50K,45-60,HS-College
Private,Black,0-20,United-States,<=50K,15-30,HS-College
Private,Black,21-40,United-States,<=50K,15-30,MiddleSchool
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,0-20,United-States,<=50K,30-45,Assoc
Private,White,0-20,United-States,<=50K,60-75,Bach
Private,White,21-40,United-States,<=50K,45-60,Mast
Private,White,21-40,United-States,<=50K,30-45,Bach
?,White,21-40,United-States,<=50K,15-30,MiddleSchool
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,Italy,<=50K,45-60,Assoc
Federal-gov,White,21-40,United-States,<=50K,30-45,Assoc
Self-emp-inc,White,21-40,United-States,<=50K,45-60,HS-College
Private,Black,21-40,United-States,<=50K,45-60,HS-College
Federal-gov,Black,21-40,United-States,<=50K,45-60,Assoc
Private,White,21-40,Poland,<=50K,30-45,Mast
Local-gov,White,21-40,United-States,<=50K,30-45,Assoc
Private,Black,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,Canada,<=50K,30-45,Bach
Private,White,21-40,United-States,<=50K,15-30,Bach
Private,White,21-40,United-States,<=50K,45-60,HS-College
Federal-gov,Black,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,45-60,HS-College
?,Black,21-40,United-States,<=50K,30-45,HS-College
Local-gov,White,41-60,United-States,>50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,>50K,30-45,Bach
Private,White,21-40,United-States,<=50K,45-60,Assoc
Private,White,41-60,United-States,<=50K,30-45,Assoc
Private,Black,21-40,United-States,<=50K,30-45,MiddleSchool
Private,White,21-40,Peru,<=50K,45-60,Assoc
Private,White,21-40,United-States,<=50K,45-60,HS-College
?,White,0-20,United-States,<=50K,15-30,Assoc
Self-emp-inc,White,21-40,United-States,<=50K,45-60,MiddleSchool
Federal-gov,White,21-40,United-States,>50K,30-45,Assoc
Self-emp-not-inc,White,21-40,United-States,<=50K,30-45,Mast
Private,Black,21-40,United-States,<=50K,45-60,HS-College
?,Black,0-20,United-States,<=50K,75-100,HS-College
Private,White,61-80,United-States,<=50K,45-60,Mast
Local-gov,White,21-40,United-States,<=50K,15-30,Bach
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,41-60,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,Asian-Pac-Islander,21-40,United-States,<=50K,15-30,MiddleSchool
Private,White,21-40,United-States,<=50K,15-30,HS-College
Federal-gov,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,41-60,United-States,<=50K,15-30,HS-College
Private,White,61-80,United-States,<=50K,30-45,Bach
Private,Black,0-20,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,45-60,Bach
State-gov,White,21-40,United-States,<=50K,45-60,MiddleSchool
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,0-20,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,>50K,45-60,Mast
Private,White,21-40,United-States,<=50K,45-60,Assoc
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,15-30,MiddleSchool
State-gov,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,15-30,MiddleSchool
