armed,gender,race,signs_of_mental_illness,threat_level,flee,age_range
unarmed,M,Hispanic,False,other,Not fleeing,21-30
gun,M,Black,False,attack,Car,41-60
knife,M,Black,False,other,Not fleeing,31-40
gun,M,White,False,other,Car,41-60
gun,M,Black,False,attack,Not fleeing,21-30
toy weapon,M,White,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,60-100
gun,M,White,False,attack,Car,31-40
gun,M,White,False,attack,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,undetermined,Not fleeing,60-100
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Car,41-60
unarmed,M,Hispanic,True,other,Foot,31-40
knife,M,Black,True,other,Not fleeing,21-30
toy weapon,M,White,True,attack,Foot,41-60
unknown,M,White,False,attack,Car,21-30
gun,M,Hispanic,False,attack,Car,21-30
unarmed,M,Hispanic,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,21-30
knife,M,Hispanic,True,other,Not fleeing,31-40
gun,M,White,True,attack,Car,0-20
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Foot,31-40
hatchet,M,White,True,other,Not fleeing,31-40
unarmed,M,Black,True,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,21-30
toy weapon,M,White,True,attack,Not fleeing,21-30
gun,F,White,False,attack,Not fleeing,41-60
unarmed,M,White,False,other,Foot,31-40
gun,M,White,False,attack,Not fleeing,31-40
toy weapon,M,White,False,attack,Foot,31-40
unknown,M,Hispanic,False,other,Not fleeing,41-60
unknown,F,Black,True,other,Not fleeing,21-30
unarmed,M,Hispanic,False,other,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,True,attack,Not fleeing,60-100
gun,M,Hispanic,False,attack,Car,31-40
gun,M,White,False,attack,Not fleeing,41-60
knife,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,41-60
knife,M,White,False,other,Not fleeing,31-40
gun,M,White,False,attack,Foot,41-60
gun,M,Black,False,attack,Not fleeing,0-20
knife,M,White,False,attack,Car,41-60
unarmed,M,White,False,other,Not fleeing,31-40
knife,M,White,True,attack,Not fleeing,31-40
unknown,M,Black,False,other,Car,21-30
gun,M,White,True,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Foot,41-60
knife,M,Hispanic,False,other,Not fleeing,21-30
unarmed,M,White,False,other,Not fleeing,41-60
gun,F,White,False,attack,Car,31-40
unarmed,M,White,False,other,Not fleeing,31-40
unarmed,M,Hispanic,False,undetermined,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,21-30
unarmed,M,Black,False,other,Car,31-40
knife,F,Hispanic,False,other,Not fleeing,21-30
gun,M,Black,False,attack,Car,21-30
gun,M,Black,True,attack,Car,41-60
gun,F,White,False,attack,Car,31-40
unarmed,M,White,False,attack,Not fleeing,0-20
gun,M,Asian,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
unarmed,M,Black,True,attack,Not fleeing,41-60
gun,M,Black,False,other,Foot,21-30
gun,M,Black,False,attack,Not fleeing,21-30
knife,M,White,False,attack,Not fleeing,21-30
unarmed,M,White,False,other,Not fleeing,21-30
gun,M,Asian,False,attack,Not fleeing,21-30
knife,M,Black,True,other,Not fleeing,41-60
unarmed,M,Hispanic,False,other,Car,31-40
gun,M,White,False,attack,Not fleeing,31-40
unarmed,M,Black,False,attack,Foot,0-20
unarmed,M,Black,False,undetermined,Foot,31-40
unknown,M,Black,False,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,21-30
knife,F,Black,True,other,Not fleeing,41-60
gun,M,Hispanic,False,attack,Not fleeing,41-60
unknown,M,White,False,attack,Car,31-40
unarmed,M,Black,True,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,60-100
gun,M,Black,False,attack,Not fleeing,31-40
knife,M,White,False,attack,Not fleeing,21-30
sword,M,Hispanic,True,other,Car,31-40
unknown,M,Black,False,other,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,31-40
toy weapon,M,White,True,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,41-60
unknown,M,Hispanic,False,other,Not fleeing,21-30
unarmed,M,Black,True,other,Not fleeing,31-40
gun,M,Hispanic,False,other,Other,41-60
gun,M,White,False,attack,Not fleeing,41-60
knife,M,White,False,attack,Not fleeing,31-40
unarmed,M,Hispanic,False,other,Foot,31-40
knife,M,White,False,other,Not fleeing,41-60
gun,M,White,False,attack,Car,21-30
gun,M,Hispanic,True,attack,Not fleeing,21-30
machete,M,White,False,other,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Foot,21-30
unknown,F,White,True,other,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,21-30
unarmed,M,Hispanic,False,undetermined,Car,21-30
gun,F,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,60-100
knife,M,White,False,other,Not fleeing,41-60
box cutter,M,White,True,other,Not fleeing,31-40
unarmed,M,Black,False,attack,Not fleeing,0-20
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Car,0-20
unarmed,M,White,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,31-40
machete,M,Black,True,attack,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Native,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Car,41-60
gun,M,White,True,attack,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,41-60
knife,M,White,True,other,Not fleeing,31-40
knife,M,White,True,other,Foot,31-40
unknown,M,Black,False,attack,Car,21-30
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,Black,True,attack,Car,21-30
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,31-40
unknown,M,Black,False,other,Car,21-30
gun,M,Black,False,attack,Foot,21-30
gun,M,Hispanic,False,attack,Foot,21-30
gun,M,White,True,other,Not fleeing,60-100
gun,F,White,False,attack,Not fleeing,41-60
knife,M,Hispanic,True,other,Not fleeing,31-40
knife,F,Black,False,other,Not fleeing,21-30
gun,M,White,False,attack,Car,41-60
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,41-60
knife,M,Black,False,other,Not fleeing,31-40
toy weapon,M,Hispanic,False,attack,Car,21-30
gun,M,White,False,attack,Foot,41-60
gun,M,Black,False,attack,Not fleeing,21-30
unknown,M,White,False,attack,Car,21-30
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,31-40
toy weapon,M,Hispanic,False,attack,Not fleeing,21-30
unknown,F,Black,False,other,Car,21-30
gun,M,Black,False,attack,Not fleeing,31-40
knife,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Foot,31-40
unarmed,M,Black,False,other,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,60-100
knife,M,White,False,other,Not fleeing,31-40
gun,M,Black,False,attack,Foot,0-20
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Car,31-40
unarmed,M,Black,False,other,Foot,41-60
knife,M,White,True,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,21-30
gun,M,Black,False,attack,Foot,21-30
gun,M,White,False,attack,Car,31-40
gun,M,White,False,attack,Car,31-40
gun,M,White,False,attack,Car,60-100
unknown,M,Black,False,attack,Car,41-60
gun,M,Hispanic,False,attack,Foot,31-40
knife,M,Asian,True,other,Not fleeing,21-30
sword,M,White,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Car,21-30
gun,M,White,True,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,21-30
knife,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Car,31-40
gun,M,White,True,attack,Not fleeing,60-100
gun,M,Black,False,attack,Foot,31-40
machete,M,White,True,other,Not fleeing,60-100
gun,M,White,True,attack,Car,31-40
gun,M,Hispanic,False,attack,Not fleeing,21-30
unknown,M,Black,False,undetermined,Foot,21-30
machete,M,White,True,attack,Not fleeing,31-40
gun,M,Black,False,undetermined,Foot,21-30
knife,M,Black,False,attack,Not fleeing,41-60
unarmed,M,Black,False,other,Car,41-60
toy weapon,M,White,False,attack,Car,41-60
gun,M,White,True,attack,Not fleeing,60-100
toy weapon,M,Hispanic,True,attack,Not fleeing,41-60
knife,M,Hispanic,False,other,Not fleeing,41-60
gun,M,Black,False,attack,Foot,0-20
gun,M,Hispanic,False,attack,Not fleeing,21-30
knife,M,Black,True,other,Not fleeing,21-30
gun,M,Hispanic,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,41-60
knife,M,White,False,attack,Not fleeing,41-60
gun,M,Hispanic,False,other,Not fleeing,21-30
unarmed,M,Native,True,other,Foot,31-40
knife,M,White,True,other,Not fleeing,41-60
knife,M,Hispanic,True,other,Not fleeing,31-40
unknown,M,Black,False,attack,Not fleeing,31-40
unarmed,M,Black,False,undetermined,Not fleeing,0-20
knife,M,Hispanic,False,other,Not fleeing,41-60
gun,M,White,True,attack,Foot,31-40
gun,M,Black,False,attack,Foot,31-40
gun,M,Asian,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
unarmed,M,Hispanic,False,other,Not fleeing,0-20
unknown,F,White,False,attack,Car,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Car,60-100
gun,M,Black,False,attack,Foot,21-30
machete,M,White,True,other,Not fleeing,21-30
unarmed,M,Black,True,attack,Foot,21-30
knife,M,White,True,other,Not fleeing,41-60
unarmed,M,White,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,41-60
hammer,M,Black,False,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,21-30
knife,M,White,False,other,Foot,21-30
gun,M,Hispanic,True,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,F,Black,False,attack,Not fleeing,21-30
gun,M,Black,True,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,41-60
unarmed,M,Other,True,other,Not fleeing,41-60
metal object,M,Hispanic,False,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Other,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
toy weapon,M,White,True,attack,Not fleeing,31-40
unarmed,M,Black,False,attack,Not fleeing,21-30
knife,M,Asian,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Car,0-20
knife,M,White,False,other,Car,31-40
unknown,M,Black,False,attack,Car,21-30
sword,M,White,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,41-60
unknown,M,Black,False,attack,Car,31-40
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,Black,False,other,Car,31-40
unknown,M,Black,False,attack,Car,31-40
knife,M,White,True,other,Not fleeing,21-30
gun,M,Black,False,other,Foot,21-30
unknown,M,White,True,other,Not fleeing,41-60
gun,M,Other,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Car,31-40
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,41-60
toy weapon,M,White,True,attack,Not fleeing,41-60
gun,M,Black,False,attack,Foot,41-60
gun,M,White,True,attack,Foot,31-40
gun,M,White,True,attack,Not fleeing,0-20
sword,M,White,False,other,Not fleeing,21-30
unarmed,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Other,0-20
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,21-30
knife,M,White,False,other,Not fleeing,41-60
knife,F,White,False,other,Car,31-40
gun,M,Hispanic,True,undetermined,Not fleeing,21-30
knife,M,Black,False,attack,Not fleeing,21-30
knife,M,White,False,attack,Not fleeing,41-60
knife,M,Hispanic,True,other,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,31-40
toy weapon,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Car,41-60
gun,M,Black,False,attack,Not fleeing,21-30
gun,F,White,True,attack,Not fleeing,31-40
knife,M,Black,True,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,41-60
unknown,M,White,False,attack,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,60-100
knife,M,White,False,attack,Not fleeing,31-40
toy weapon,M,White,True,attack,Not fleeing,21-30
knife,M,White,True,attack,Not fleeing,41-60
unarmed,M,Other,False,other,Not fleeing,21-30
screwdriver,M,White,True,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,60-100
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,41-60
lawn mower blade,M,White,False,attack,Not fleeing,0-20
knife,M,Black,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
unarmed,M,White,False,attack,Foot,0-20
toy weapon,M,Hispanic,False,attack,Not fleeing,31-40
toy weapon,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,attack,Other,21-30
knife,M,Black,False,other,Not fleeing,21-30
knife,M,White,True,attack,Not fleeing,21-30
gun,M,Hispanic,True,attack,Car,0-20
knife,M,Hispanic,False,other,Car,31-40
gun,M,White,True,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Car,41-60
unarmed,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,41-60
unknown,F,White,False,other,Car,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Foot,41-60
box cutter,M,White,True,other,Not fleeing,41-60
gun,M,Hispanic,False,attack,Car,21-30
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,41-60
knife,M,Hispanic,True,other,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,60-100
unarmed,M,White,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Car,41-60
gun,M,Black,False,attack,Not fleeing,21-30
unarmed,M,White,False,other,Car,21-30
gun,M,Black,False,attack,Not fleeing,0-20
gun,M,Black,False,attack,Not fleeing,41-60
unknown,M,Black,False,other,Not fleeing,41-60
gun,M,Hispanic,True,attack,Not fleeing,21-30
knife,M,Hispanic,True,other,Not fleeing,21-30
toy weapon,F,White,True,attack,Not fleeing,0-20
gun,M,White,False,attack,Not fleeing,41-60
flagpole,M,Black,False,other,Not fleeing,31-40
guns and explosives,M,White,True,attack,Not fleeing,31-40
unknown,M,Hispanic,False,attack,Car,21-30
gun,M,White,True,attack,Not fleeing,0-20
unarmed,M,Black,False,other,Foot,21-30
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,Native,False,attack,Not fleeing,31-40
gun,F,White,False,attack,Car,41-60
gun,M,White,True,attack,Not fleeing,41-60
knife,M,White,False,attack,Foot,41-60
knife,M,Hispanic,True,other,Foot,41-60
gun,M,Black,True,attack,Not fleeing,21-30
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Foot,21-30
unarmed,M,Hispanic,True,other,Not fleeing,21-30
cordless drill,M,White,True,other,Not fleeing,41-60
gun,M,White,False,attack,Foot,60-100
gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,21-30
gun,M,Black,False,attack,Car,21-30
unarmed,M,White,False,other,Car,31-40
knife,M,White,False,attack,Not fleeing,21-30
knife,M,White,True,other,Foot,41-60
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,21-30
unarmed,M,Black,True,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,60-100
gun,M,White,False,attack,Other,41-60
gun,M,Hispanic,False,other,Foot,21-30
gun,M,White,False,attack,Not fleeing,31-40
toy weapon,M,White,False,attack,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,Black,False,attack,Foot,21-30
gun,M,White,False,attack,Car,31-40
toy weapon,M,White,True,attack,Not fleeing,41-60
knife,M,Asian,False,other,Not fleeing,60-100
unarmed,M,Black,False,attack,Foot,21-30
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,Hispanic,True,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
knife,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Foot,41-60
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Foot,21-30
gun,M,White,False,attack,Not fleeing,31-40
unarmed,M,White,False,attack,Foot,0-20
gun,M,White,False,attack,Foot,31-40
unarmed,M,White,False,other,Not fleeing,41-60
toy weapon,M,White,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,21-30
knife,M,White,True,other,Not fleeing,41-60
knife,M,Black,False,attack,Not fleeing,21-30
knife,M,Hispanic,False,attack,Car,41-60
unknown,M,White,True,attack,Other,31-40
gun,M,Black,False,attack,Not fleeing,0-20
metal pole,M,White,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,Hispanic,True,attack,Not fleeing,31-40
knife,M,Black,False,attack,Foot,31-40
gun,M,White,False,attack,Car,31-40
knife,M,White,False,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,White,False,attack,Car,60-100
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Foot,60-100
gun,M,Black,False,attack,Foot,21-30
gun,M,White,True,attack,Not fleeing,0-20
sword,M,Black,False,other,Not fleeing,21-30
Taser,M,White,False,attack,Other,31-40
gun,M,White,True,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,31-40
knife,M,Native,True,other,Foot,31-40
gun,M,White,False,attack,Foot,60-100
gun,M,White,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,21-30
unarmed,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Car,21-30
unknown,M,Hispanic,False,attack,Not fleeing,21-30
box cutter,M,White,False,other,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,21-30
metal pipe,M,White,True,other,Not fleeing,41-60
sword,M,Hispanic,True,other,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Other,31-40
gun,M,Other,True,attack,Not fleeing,21-30
gun,M,Native,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Foot,21-30
metal hand tool,M,Black,True,other,Not fleeing,21-30
knife,M,White,False,other,Foot,21-30
gun,M,White,True,attack,Not fleeing,41-60
unarmed,M,Black,False,attack,Foot,0-20
unknown,M,Hispanic,False,other,Other,21-30
unarmed,M,Black,False,attack,Foot,21-30
knife,M,White,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,60-100
unarmed,M,Black,False,other,Car,41-60
gun,M,White,False,attack,Other,31-40
unarmed,M,White,False,other,Not fleeing,41-60
gun,M,White,False,other,Car,21-30
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,21-30
knife,M,Black,False,other,Other,21-30
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,31-40
toy weapon,M,White,False,attack,Not fleeing,41-60
gun,F,White,True,attack,Not fleeing,41-60
unarmed,M,White,True,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
knife,M,White,False,other,Not fleeing,31-40
blunt object,M,White,True,attack,Car,60-100
gun,M,White,True,attack,Not fleeing,41-60
toy weapon,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,31-40
unknown,M,White,False,other,Other,0-20
knife,M,White,False,attack,Not fleeing,41-60
toy weapon,M,White,True,attack,Car,41-60
knife,M,White,False,other,Not fleeing,21-30
gun,M,Hispanic,False,undetermined,Foot,31-40
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Car,21-30
gun,M,Hispanic,False,attack,Not fleeing,31-40
metal stick,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,21-30
unknown,M,White,True,other,Not fleeing,60-100
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Foot,0-20
gun,M,White,False,attack,Not fleeing,60-100
toy weapon,M,White,True,attack,Not fleeing,31-40
unknown,M,Hispanic,True,other,Not fleeing,41-60
gun,M,Black,True,undetermined,Not fleeing,31-40
knife,M,White,False,attack,Not fleeing,0-20
knife,M,White,True,other,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Foot,21-30
hatchet,M,White,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
knife,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Car,21-30
unarmed,M,Black,False,other,Not fleeing,0-20
sharp object,M,Hispanic,True,other,Not fleeing,21-30
toy weapon,M,White,True,attack,Not fleeing,31-40
unknown,M,White,False,other,Car,41-60
gun,M,Black,False,attack,Not fleeing,21-30
knife,M,Black,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,Black,False,attack,Not fleeing,0-20
gun,M,White,True,attack,Not fleeing,41-60
meat cleaver,M,Hispanic,False,attack,Foot,21-30
unknown,M,White,False,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,31-40
knife,M,White,False,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Car,21-30
gun,M,Hispanic,False,attack,Car,21-30
gun,M,Black,False,attack,Car,21-30
gun,M,White,False,undetermined,Car,41-60
knife,F,Black,False,other,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,21-30
unarmed,M,Black,True,attack,Foot,31-40
box cutter,M,White,False,attack,Car,41-60
